}	}
Holmes	I-PER
U.S.	I-LOC
Olympic	I-MISC
Munich	I-LOC
Olympics	I-MISC
Bobick	I-PER
Stevenson	I-PER
Olympic	I-MISC
Bobick	I-PER
Stevenson	I-PER
Bobick	I-PER
Bobick	I-PER
Bobick	I-PER
Joe	I-PER
Frazier	I-PER
Bobick	I-PER
Tommy	I-PER
Burns	I-PER
Burns	I-PER
Bobick	I-PER
Manuel	I-PER
Ramos	I-PER
Bobick	I-PER
Ted	I-PER
Gullick	I-PER
Mike	I-PER
Weaver	I-PER
Billy	I-PER
Daniels	I-PER
Bobick	I-PER
Jerry	I-PER
Quarry	I-PER
Frazier	I-PER
Bobick	I-PER
Bobick	I-PER
Randy	I-PER
Neumann	I-PER
Muhammed	I-PER
Ali	I-PER
Larry	I-PER
Middleton	I-PER
Minnesotan	I-MISC
Scott	I-PER
LeDoux	I-PER
Bunny	I-PER
Johnson	I-PER
Chuck	I-PER
Wepner	I-PER
Bobick	I-PER
Ken	I-PER
Norton	I-PER
Norton	I-PER
Bobick	I-PER
Norton	I-PER
Bobick	I-PER
Bobick	I-PER
Bobick	I-PER
Norton	I-PER
Saturday	I-MISC
Night	I-MISC
Live	I-MISC
Bobick	I-PER
Scott	I-PER
LeDoux	I-PER
South	I-MISC
African	I-MISC
Kallie	I-PER
Knoetze	I-PER
John	I-PER
Tate	I-PER
George	I-PER
Chaplin	I-PER
Bobick	I-PER
Minnesota	I-LOC
Bobick	I-PER
City	I-LOC
of	I-LOC
Little	I-LOC
Falls	I-LOC
Minnesota	I-LOC
Bobick	I-PER
Billy	I-MISC
boy	I-MISC
Rodney	I-PER
Dutch-Australian	I-MISC
Australia	I-LOC
Dutch	I-MISC
Dutch	I-MISC
Dutch	I-MISC
Australia	I-LOC
Willem	I-PER
Janszoon	I-PER
Dutch	I-MISC
Australian	I-MISC
Europeans	I-MISC
Dutch	I-MISC
Dutch	I-LOC
East	I-LOC
Indies	I-LOC
Indonesia	I-LOC
Australia	I-LOC
World	I-MISC
War	I-MISC
II	I-MISC
Allied	I-ORG
Netherlands	I-LOC
East	I-LOC
Indies	I-LOC
Australia	I-LOC
Dutch	I-MISC
Fremantle	I-LOC
Java	I-LOC
No.	I-ORG
18	I-ORG
Netherlands	I-ORG
East	I-ORG
Indies	I-ORG
Squadron	I-ORG
RAAF	I-ORG
No.	I-ORG
120	I-ORG
Canberra	I-LOC
Dutch	I-MISC
Australian	I-MISC
B-25	I-MISC
Mitchell	I-MISC
Dutch	I-MISC
No.	I-ORG
18	I-ORG
Australia	I-LOC
No.	I-ORG
120	I-ORG
Western	I-LOC
Australia	I-LOC
Dutch	I-MISC
Australia	I-LOC
Australia	I-LOC
World	I-MISC
War	I-MISC
II	I-MISC
Indonesia	I-LOC
Australian	I-MISC
Census	I-MISC
Australia	I-LOC
Dutch	I-MISC
Netherlands	I-LOC
East	I-ORG
Germany	I-ORG
national	I-ORG
handball	I-ORG
team	I-ORG
East	I-LOC
Germany	I-LOC
Eberhard	I-ORG
Faber	I-ORG
GmbH	I-ORG
Neumarkt	I-LOC
Nuremberg	I-LOC
Germany	I-LOC
Staedtler	I-ORG
Eberhard	I-ORG
Faber	I-ORG
Eberhard	I-ORG
Faber	I-ORG
US	I-LOC
Faber-Castell	I-ORG
USA	I-ORG
Newell	I-ORG
Sanford	I-ORG
Paper	I-ORG
Mate	I-ORG
Eberhard	I-ORG
Faber	I-ORG
FIMO	I-MISC
Efaplast	I-MISC
Aquasoft	I-MISC
Henry	I-PER
Eberhard	I-PER
Faber	I-PER
Animal	I-MISC
House	I-MISC
Faber	I-PER
Fahrenheit	I-MISC
451	I-MISC
Anton	I-PER
Wolfgang	I-PER
von	I-PER
Faber-Castell	I-PER
The	I-ORG
Economist	I-ORG
Eberhard	I-PER
Faber	I-PER
V	I-PER
God	I-ORG
Street	I-ORG
Wine	I-ORG
VI	I-PER
Eduard	I-PER
Hitzig	I-PER
German	I-MISC
Berlin	I-LOC
Berlin	I-LOC
Emil	I-PER
Du	I-PER
Bois-Reymond	I-PER
Rudolf	I-PER
Virchow	I-PER
Moritz	I-PER
Heinrich	I-PER
Romberg	I-PER
Karl	I-PER
Friedrich	I-PER
Otto	I-PER
Westphal	I-PER
Berlin	I-LOC
asylum	I-ORG
University	I-ORG
of	I-ORG
Zurich	I-ORG
Hitzig	I-PER
University	I-ORG
of	I-ORG
Halle	I-ORG
Hitzig	I-PER
Hitzig	I-PER
Gustav	I-PER
Fritsch	I-PER
Fritsch	I-PER
University	I-ORG
of	I-ORG
Berlin	I-ORG
Hitzig	I-PER
Fritsch	I-PER
Hitzig	I-PER
On	I-MISC
the	I-MISC
Electrical	I-MISC
Excitability	I-MISC
of	I-MISC
the	I-MISC
Cerebrum	I-MISC
Hitzig	I-PER
Prussian	I-ORG
Army	I-ORG
Hitzig	I-PER
Hitzig	I-PER
Luigi	I-PER
Galvani	I-PER
Hitzig	I-PER
Fritsch	I-PER
Scottish	I-MISC
David	I-PER
Ferrier	I-PER
Google	I-ORG
Ask.com	I-ORG
Ein	I-MISC
Lied	I-MISC
von	I-MISC
Liebe	I-MISC
und	I-MISC
Tod	I-MISC
English	I-MISC
A	I-MISC
Song	I-MISC
of	I-MISC
Love	I-MISC
and	I-MISC
Death	I-MISC
German	I-MISC
Hungarian	I-MISC
German	I-MISC
German	I-MISC
Hungarian	I-MISC
Hungarian	I-MISC
World	I-MISC
War	I-MISC
II	I-MISC
Hungary	I-LOC
Nick	I-PER
Barkow	I-PER
Rolf	I-PER
Gloomy	I-MISC
Sunday	I-MISC
Joachim	I-PER
Jewish	I-MISC
Erika	I-PER
Ilona	I-PER
Stefano	I-PER
Dionisi	I-PER
Gloomy	I-MISC
Sunday	I-MISC
Ben	I-PER
Becker	I-PER
Hans	I-PER
Wieck	I-PER
German	I-MISC
SS	I-ORG
Budapest	I-LOC
Ilona	I-PER
Gloomy	I-MISC
Sunday	I-MISC
German	I-MISC
Trauriger	I-MISC
Sonntag	I-MISC
Ilona	I-PER
German	I-MISC
Hans	I-PER
Ilona	I-PER
Hans	I-PER
Germany	I-LOC
Nazi	I-LOC
Germany	I-LOC
Budapest	I-LOC
Hans	I-PER
SS	I-ORG
Budapest	I-LOC
Jews	I-MISC
Jews	I-MISC
German	I-LOC
Europe	I-LOC
Ilona	I-PER
Hans	I-PER
Electric	I-LOC
Avenue	I-LOC
Brixton	I-LOC
London	I-LOC
London	I-LOC
Brixton	I-ORG
Market	I-ORG
African	I-MISC
Caribbean	I-MISC
English	I-MISC
Portuguese	I-MISC
Chinese	I-MISC
Brixton	I-LOC
Victorian	I-MISC
Eddy	I-PER
Grant	I-PER
David	I-PER
Copeland	I-PER
London	I-LOC
Asian	I-MISC
Elias	I-PER
Howell	I-PER
United	I-LOC
States	I-LOC
Ohio	I-LOC
New	I-LOC
Jersey	I-LOC
Newark	I-LOC
Ohio	I-LOC
Ohio	I-ORG
Senate	I-ORG
Anti-Jacksonian	I-ORG
United	I-ORG
States	I-ORG
Congress	I-ORG
Newark	I-LOC
Ohio	I-LOC
Howell	I-PER
James	I-PER
Bruen	I-PER
Howell	I-PER
U.S.	I-LOC
Iowa	I-LOC
Bakken	I-LOC
Formation	I-LOC
Elm	I-LOC
Coulee	I-LOC
Field	I-LOC
Bakken	I-LOC
Elm	I-LOC
Coulee	I-LOC
Elm	I-LOC
Coulee	I-LOC
Montana	I-LOC
Emanuel	I-PER
Bunzel	I-PER
Austrian	I-MISC
Emil	I-PER
Touma	I-PER
Palestinian	I-MISC
Israel	I-LOC
Touma	I-PER
Emil	I-PER
Habibi	I-PER
Jabra	I-PER
Nicola	I-PER
Haifa	I-LOC
Haidar	I-PER
Abdel-Shafi	I-PER
Mukhlis	I-PER
Amer	I-PER
Emil	I-PER
Habibi	I-PER
Mufid	I-PER
Nashashibi	I-PER
Touma	I-PER
Palestinian	I-ORG
National	I-ORG
Liberation	I-ORG
League	I-ORG
Emil	I-ORG
Touma	I-ORG
Institute	I-ORG
for	I-ORG
Palestinian	I-ORG
Studies	I-ORG
Ervenik	I-LOC
Serbian	I-MISC
Cyrillic	I-MISC
County	I-LOC
Croatia	I-LOC
Serbs	I-MISC
Eugenio	I-PER
Calabi	I-PER
Italian-American	I-MISC
University	I-ORG
of	I-ORG
Pennsylvania	I-ORG
Calabi	I-PER
Putnam	I-MISC
Fellow	I-MISC
MIT	I-ORG
Princeton	I-ORG
University	I-ORG
Salomon	I-PER
Bochner	I-PER
University	I-ORG
of	I-ORG
Minnesota	I-ORG
Calabi	I-PER
University	I-ORG
of	I-ORG
Pennsylvania	I-ORG
German-American	I-MISC
Hans	I-PER
Rademacher	I-PER
Thomas	I-PER
A	I-PER
Scott	I-PER
University	I-ORG
of	I-ORG
Pennsylvania	I-ORG
Steele	I-MISC
Prize	I-MISC
American	I-ORG
Mathematical	I-ORG
Society	I-ORG
Calabi	I-PER
Express	I-MISC
Nakhonphink	I-MISC
State	I-ORG
Railway	I-ORG
of	I-ORG
Thailand	I-ORG
Express	I-MISC
Nakhonphink	I-MISC
Bangkok	I-LOC
Chiang	I-LOC
Mai	I-LOC
Chiang	I-LOC
Mai	I-LOC
Bangkok	I-LOC
Express	I-MISC
Nakhonphink	I-MISC
SRT	I-ORG
Bangkok	I-LOC
Chiang	I-LOC
Mai	I-LOC
Chiang	I-LOC
Mai	I-LOC
Bangkok	I-LOC
EZ2DJ	I-MISC
South	I-MISC
Korean	I-MISC
Amuseworld	I-ORG
Konami	I-ORG
Beatmania	I-MISC
EZ2DJ	I-MISC
7th	I-MISC
TraX	I-MISC
Ez2DJ	I-MISC
The	I-MISC
1st	I-MISC
TRACKS	I-MISC
Ez2DJ	I-MISC
The	I-MISC
1st	I-MISC
TRACKS	I-MISC
Special	I-MISC
Edition	I-MISC
Ez2DJ	I-MISC
Dance	I-MISC
Edition	I-MISC
Vol.1	I-MISC
Ez2DJ	I-MISC
2nd	I-MISC
TraX	I-MISC
-	I-MISC
It	I-MISC
Rules	I-MISC
Once	I-MISC
Again	I-MISC
Ez2DJ	I-MISC
3rd	I-MISC
TraX	I-MISC
-	I-MISC
Absolute	I-MISC
Pitch	I-MISC
Ez2DJ	I-MISC
4th	I-MISC
TraX	I-MISC
-	I-MISC
Over	I-MISC
Mind	I-MISC
Ez2DJ	I-MISC
Platinum	I-MISC
-	I-MISC
Limited	I-MISC
Edition	I-MISC
Ez2DJ	I-MISC
6th	I-MISC
TraX	I-MISC
-	I-MISC
Self	I-MISC
Evolution	I-MISC
Ez2DJ	I-MISC
7th	I-MISC
TraX	I-MISC
-	I-MISC
Resistance	I-MISC
Ez2DJ	I-MISC
7th	I-MISC
TraX	I-MISC
-	I-MISC
Resistance	I-MISC
-	I-MISC
Version	I-MISC
1.50	I-MISC
EZ2DJ	I-MISC
EZ2DJ	I-MISC
Beatmania	I-MISC
III	I-MISC
IIDX	I-MISC
IIDX	I-MISC
beatmania	I-MISC
IIDX	I-MISC
EZ2DJ	I-MISC
Erin	I-PER
AHRISA	I-PER
Confete	I-MISC
Catch	I-MISC
the	I-MISC
flow	I-MISC
Ztar	I-MISC
warZ	I-MISC
The	I-MISC
Rhythm	I-MISC
Envy	I-MISC
Mask	I-MISC
Let	I-MISC
it	I-MISC
go	I-MISC
Do	I-MISC
you	I-MISC
remember	I-MISC
?	I-MISC
Mystic	I-MISC
Dream	I-MISC
9903	I-MISC
Freedom	I-MISC
1st	I-MISC
Tracks	I-MISC
BOB	I-MISC
My	I-MISC
Honey	I-MISC
2nd	I-MISC
TraX	I-MISC
For	I-MISC
3	I-MISC
Weeks	I-MISC
4th	I-MISC
TraX	I-MISC
Confete	I-MISC
Ruby	I-ORG
Tuesday	I-ORG
Carlos	I-PER
Carlos	I-PER
1st	I-MISC
Tracks	I-MISC
1st	I-MISC
SE	I-MISC
2nd	I-MISC
TraX	I-MISC
3rd	I-MISC
TraX	I-MISC
4th-7th	I-MISC
TraX	I-MISC
Konami	I-ORG
Amuse	I-ORG
World	I-ORG
Konami	I-ORG
Amuse	I-ORG
World	I-ORG
Korean	I-MISC
Amuse	I-ORG
World	I-ORG
Konami	I-ORG
Amuseworld	I-ORG
KONAMI	I-ORG
Fairfax	I-ORG
Connector	I-ORG
Fairfax	I-LOC
County	I-LOC
Virginia	I-LOC
Veolia	I-ORG
Transport	I-ORG
Metrobus	I-ORG
Washington	I-ORG
Metropolitan	I-ORG
Area	I-ORG
Transit	I-ORG
Authority	I-ORG
Mount	I-LOC
Vernon	I-LOC
Estate	I-LOC
Huntington	I-LOC
Metrorail	I-LOC
Station	I-LOC
Alexandria	I-LOC
Richmond	I-LOC
Highway	I-LOC
Fairfax	I-ORG
Connector	I-ORG
Reston	I-LOC
Herndon	I-LOC
Washington	I-LOC
,	I-LOC
D.C.	I-LOC
Washington	I-ORG
Dulles	I-ORG
International	I-ORG
Airport	I-ORG
State	I-LOC
Route	I-LOC
267	I-LOC
Dulles	I-LOC
Toll	I-LOC
Road	I-LOC
Washington	I-LOC
Metro	I-LOC
Metrobus	I-ORG
Fairfax	I-ORG
Connector	I-ORG
SmarTrip	I-ORG
Washington	I-LOC
Metro	I-LOC
Fairfax	I-LOC
County	I-LOC
Metrorail	I-LOC
Metrorail	I-LOC
Fairfax	I-ORG
Connector	I-ORG
Fairmont	I-ORG
State	I-ORG
University	I-ORG
Fairmont	I-LOC
West	I-LOC
Virginia	I-LOC
Fairmont	I-ORG
State	I-ORG
West	I-ORG
Virginia	I-ORG
Normal	I-ORG
School	I-ORG
Fairmont	I-LOC
Fairmont	I-ORG
State	I-ORG
Normal	I-ORG
School	I-ORG
Fairmont	I-ORG
State	I-ORG
Teachers	I-ORG
College	I-ORG
Fairmont	I-ORG
State	I-ORG
College	I-ORG
Fairmont	I-ORG
State	I-ORG
Community	I-ORG
and	I-ORG
Technical	I-ORG
College	I-ORG
Pierpont	I-ORG
Community	I-ORG
&	I-ORG
Technical	I-ORG
College	I-ORG
Bob	I-PER
Wise	I-PER
Fairmont	I-ORG
State	I-ORG
College	I-ORG
Fairmont	I-ORG
State	I-ORG
University	I-ORG
FSU	I-ORG
FSU	I-ORG
FSU	I-ORG
Robert	I-ORG
C.	I-ORG
Byrd	I-ORG
National	I-ORG
Aerospace	I-ORG
Education	I-ORG
Center	I-ORG
Bridgeport	I-LOC
West	I-LOC
Virginia	I-LOC
Fairmont	I-ORG
State	I-ORG
Falcons	I-ORG
West	I-ORG
Virginia	I-ORG
Intercollegiate	I-ORG
Athletic	I-ORG
Conference	I-ORG
NCAA	I-ORG
Division	I-ORG
II	I-ORG
Justin	I-PER
Broadrick	I-PER
Oleg	I-PER
Mikhaylovich	I-PER
Gazmanov	I-PER
Russian	I-MISC
}	}
